ms_today;input_voltage;temp_mos_max;temp_mos_1;temp_mos_2;temp_mos_3;temp_motor;current_motor;current_in;d_axis_current;q_axis_current;erpm;duty_cycle;amp_hours_used;amp_hours_charged;watt_hours_used;watt_hours_charged;tachometer;tachometer_abs;encoder_position;fault_code;vesc_id;d_axis_voltage;q_axis_voltage;ms_today_setup;amp_hours_setup;amp_hours_charged_setup;watt_hours_setup;watt_hours_charged_setup;battery_level;battery_wh_tot;current_in_setup;current_motor_setup;speed_meters_per_sec;tacho_meters;tacho_abs_meters;num_vescs;ms_today_imu;roll;pitch;yaw;accX;accY;accZ;gyroX;gyroY;gyroZ;gnss_posTime;gnss_lat;gnss_lon;gnss_alt;gnss_gVel;gnss_vVel;gnss_hAcc;gnss_vAcc;
71647421;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647395;0;0;0;0;0.828;377.735;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647483;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647452;0;0;0;0;0.838;382.275;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647577;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647519;0;0;0;0;0.835;381.145;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647639;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647607;0;0;0;0;0.835;381.145;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647702;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647671;0;0;0;0;0.83;378.875;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647794;40.1;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647733;0;0;0;0;0.8;364.988;0;0.02;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647858;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647824;0;0;0;0;0.82;374.294;0;0.05;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647921;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647896;0;0;0;0;0.823;375.444;0;0.04;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71647983;40.2;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71647952;0;0;0;0;0.82;374.294;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
71648077;40.3;25.7;0;0;0;24.6;0.04;0;0;0;0;0;0;0;0;0;0;0;0;0;36;0;0;71648018;0;0;0;0;0.838;382.275;0;0.03;0;0;0;1;-1;0;0;0;0;0;0;0;0;0;-1;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;0.00000000;
